,Date,File Name,Module,Commits,Added Lines,Removed Lines,Churn
0,2021-05-10 15:04:31-04:00,test_utils.py,nova\tests,251e601a4d86b487723b5297abf38b967def3d5e,3,3,6
1,2021-05-10 19:18:30+00:00,__init__.py,nova\tests,8b647f1b3f56879be221b3925570790a1e0e77f8,0,0,0
2,2021-05-10 19:18:30+00:00,test_rbd.py,nova\tests,8b647f1b3f56879be221b3925570790a1e0e77f8,1,1,2
3,2021-05-11 17:28:56+02:00,rbd_utils.py,nova\storage,86af7feed06f08ddb3ef65122089216708d53a06,8,1,9
4,2021-05-11 17:28:56+02:00,test_rbd.py,nova\tests,86af7feed06f08ddb3ef65122089216708d53a06,6,0,6
5,2021-05-12 10:50:52+08:00,common.py,nova\cmd,150b9182512fa0a4f157586e040a7f67c1851005,2,2,4
6,2021-05-12 10:50:52+08:00,neutron.py,nova\network,150b9182512fa0a4f157586e040a7f67c1851005,2,1,3
7,2021-05-12 10:50:52+08:00,test.py,nova,150b9182512fa0a4f157586e040a7f67c1851005,3,3,6
8,2021-05-12 10:50:52+08:00,test_objects.py,nova\tests,150b9182512fa0a4f157586e040a7f67c1851005,3,2,5
9,2021-05-12 10:50:52+08:00,test_imagebackend.py,nova\tests,150b9182512fa0a4f157586e040a7f67c1851005,5,3,8
10,2021-05-12 10:50:52+08:00,utils.py,nova,150b9182512fa0a4f157586e040a7f67c1851005,1,7,8
11,2021-05-12 11:30:41+01:00,__init__.py,nova\tests,d726ef51ec15509d7ee570b3d220e2e43d37c8f4,13,0,13
12,2021-05-12 11:30:41+01:00,nova.py,nova\tests,d726ef51ec15509d7ee570b3d220e2e43d37c8f4,0,0,0
13,2021-05-12 11:30:41+01:00,test.py,nova,2e53c8265371b0eaa5e41f80e3b09fc72766cf13,1,2,3
14,2021-05-12 11:30:41+01:00,__init__.py,nova\tests,2e53c8265371b0eaa5e41f80e3b09fc72766cf13,1,0,1
15,2021-05-12 11:30:41+01:00,conf.py,nova\tests,2e53c8265371b0eaa5e41f80e3b09fc72766cf13,0,0,0
16,2021-05-12 11:30:41+01:00,test_requestlog.py,nova\tests,2e53c8265371b0eaa5e41f80e3b09fc72766cf13,4,5,9
17,2021-05-12 11:30:41+01:00,test_fixtures.py,nova\tests,2e53c8265371b0eaa5e41f80e3b09fc72766cf13,6,7,13
18,2021-05-12 16:32:43+01:00,test.py,nova,c269285568b2f4a76baf55d57ccd39ae202def19,1,2,3
19,2021-05-12 16:32:43+01:00,__init__.py,nova\tests,c269285568b2f4a76baf55d57ccd39ae202def19,8,1,9
20,2021-05-12 16:32:43+01:00,api_paste.py,nova\tests,c269285568b2f4a76baf55d57ccd39ae202def19,1,1,2
21,2021-05-12 16:32:43+01:00,cast_as_call.py,nova\tests,c269285568b2f4a76baf55d57ccd39ae202def19,4,4,8
22,2021-05-12 16:32:43+01:00,policy.py,nova\tests,c269285568b2f4a76baf55d57ccd39ae202def19,1,1,2
23,2021-05-12 16:32:43+01:00,api_sample_base.py,nova\tests,c269285568b2f4a76baf55d57ccd39ae202def19,1,1,2
24,2021-05-12 16:32:43+01:00,integrated_helpers.py,nova\tests,c269285568b2f4a76baf55d57ccd39ae202def19,3,5,8
25,2021-05-12 16:32:43+01:00,test_numa_live_migration.py,nova\tests,c269285568b2f4a76baf55d57ccd39ae202def19,2,4,6
26,2021-05-12 16:32:43+01:00,test_numa_servers.py,nova\tests,c269285568b2f4a76baf55d57ccd39ae202def19,2,2,4
27,2021-05-12 16:32:43+01:00,test_pci_sriov_servers.py,nova\tests,c269285568b2f4a76baf55d57ccd39ae202def19,6,6,12
28,2021-05-12 16:32:43+01:00,test_bug_1522536.py,nova\tests,c269285568b2f4a76baf55d57ccd39ae202def19,2,4,6
